GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab2,lab.demand,ManageDemand,64,51,8,4,15,12,5,4,1,2
lab2,lab.demand,Tax,8,9,3,1,3,3,2,2,0,2
lab2,lab.demand,Order,8,15,0,0,4,6,2,3,2,3
lab2,lab,Main,93,0,0,0,16,0,3,0,3,0
